p3 | MaxLen - | (listing price) | topmostSubform[0].F433-A-OIC_Page3[0].ForSale[0].listing_price[0]
p3 | MaxLen - | Is your real property currently for sale or do you anticipate selling your real property to fund the offer amount [Yes] | topmostSubform[0].F433-A-OIC_Page3[0].ForSale[0].CB2_15[0]
p3 | MaxLen - | Is your real property currently for sale or do you anticipate selling your real property to fund the offer amount [No] | topmostSubform[0].F433-A-OIC_Page3[0].ForSale[0].CB2_16[0]
p3 | MaxLen - | Property description | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].property_description[0]
p3 | MaxLen - | Purchase date | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].purchased_lease_date[0]
p3 | MaxLen - | Amount of mortgage payment | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].amount_of_mortgage[0]
p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].date_of_final[0]
p3 | MaxLen - | How title is held | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].how_title_held[0]
p3 | MaxLen - | Location | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].location[0]
p3 | MaxLen - | state, ZIP code) | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].lender_lessor_landlord[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].current_market_value[0].current_market_value[1]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].current_market_value[0].times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].minus_loan_balance[0].minus_loan_balance[1]
p3 | MaxLen - | (5a) $ | topmostSubform[0].F433-A-OIC_Page3[0].Property1[0].total_real_estate[0]
p3 | MaxLen - | Property description | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].property_description[0]
p3 | MaxLen - | Purchase date | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].purchased_lease_date[0]
p3 | MaxLen - | Amount of mortgage payment | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].amount_of_mortgage[0]
p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].date_of_final[0]
p3 | MaxLen - | How title is held | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].how_title_held[0]
p3 | MaxLen - | Location | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].location[0]
p3 | MaxLen - | state, ZIP code) | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].lender_lessor_landlord[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].current_market_value[0].current_market_value[1]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].current_market_value[0].times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].minus_loan_balance[0].minus_loan_balance[1]
p3 | MaxLen - | (5b) $ | topmostSubform[0].F433-A-OIC_Page3[0].Property2[0].total_real_estate[0]
p3 | MaxLen - | (5c) $ | topmostSubform[0].F433-A-OIC_Page3[0].TotalValueProperty[0].Total_Value_Property_Attached[0]
p3 | MaxLen - | Add lines (5a) through (5c) = | topmostSubform[0].F433-A-OIC_Page3[0].TotalValueProperty[0].Total_Value_Property[0]
p3 | MaxLen - | Vehicle make & model | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Vehicle_Make_Model[0]
p3 | MaxLen - | Year | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Year[0]
p3 | MaxLen - | Date purchased | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Date_Purchased[0]
p3 | MaxLen - | Mileage | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Mileage[0]
p3 | MaxLen - | License/Tag number | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].LicenseTagNumber[0]
p3 | MaxLen - | Vehicle make & model [Lease] | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].LeaseLoan[0].CB3_05[0]
p3 | MaxLen - | Name of creditor | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Name_Creditor[0]
p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Date_Final_Payment[0]
p3 | MaxLen - | Vehicle make & model [Own] | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].LeaseLoan[0].CB3_06[0]
p3 | MaxLen - | Monthly lease/loan amount | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Monthly_Lease_Amount[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].CurrentMarket[0].Current_Market_Value[0]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].CurrentMarket[0].Times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].LessLoan[0].Less_Loan_Balance[0]
p3 | MaxLen - | (6a) $ | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle1[0].Total_Value_Vehicle[0]
p3 | MaxLen - | (6b) $ | topmostSubform[0].F433-A-OIC_Page3[0].line6b[0]
p3 | MaxLen - | Vehicle make & model | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Vehicle_Make_Model[0]
p3 | MaxLen - | Year | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Year[0]
p3 | MaxLen - | Date purchased | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Date_Purchased[0]
p3 | MaxLen - | Mileage | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Mileage[0]
p3 | MaxLen - | License/Tag number | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].LicenseTagNumber[0]
p3 | MaxLen - | Vehicle make & model [Lease] | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].LeaseLoan[0].CB3_05[0]
p3 | MaxLen - | Name of creditor | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Name_Creditor[0]
