p3 | MaxLen - | Mileage or use hours | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle1[0].Mileage[1]
p3 | MaxLen - | License/Tag number | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle1[0].LicenseTagNumber[1]
p3 | MaxLen - | Vehicle make & model [Lease] | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].LeaseLoan[0].CB3_05[0]
p3 | MaxLen - | Name of creditor | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].Name_Creditor[0]
p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].Date_Final_Payment[0]
p3 | MaxLen - | Vehicle make & model [Own] | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].LeaseLoan[0].CB3_06[0]
p3 | MaxLen - | Monthly lease/loan amount | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].MonthlyLeaseAmt[0].Monthly_Lease_Amount[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].CurrentMarket[0].Current_Market_Value[0]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].CurrentMarket[0].Times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].LessLoan[0].Less_Loan_Balance[0]
p3 | MaxLen - | (4b) $ | topmostSubform[0].F433-B-OIC_Page3[0].Vehicle2[0].Total_Value_Vehicle[0]
